postalcode,street,lat,lng,price,area,volume,floors,year_build,has_garden,type,photos,rooms
1068 NA Amsterdam,Hoekenes 106,52.35116,4.803448,685000,185,500,1,1967,0,woonhuis,1,5
1013 AK Amsterdam,Bouwnummer 111 (Bouwnr. 111),52.39695,4.881737,649750,139,606,3,2019,1,woonhuis,1,3
1074 XG Amsterdam,Sint Willibrordusdwarsstraat 4 1,52.35475,4.90411,250000,40,125,1,1910,0,appartement,27,2
1064 LD Amsterdam,Aristotelesstraat 13,52.373129999999996,4.817245,325000,0,0,1,0,0,,1,1
1091 KA Amsterdam,Derde Oosterparkstraat,52.35617,4.9161589999999995,5000,0,0,1,0,0,parkeergelegenheid,1,1
1108 DL Amsterdam,Leusdenhof 255,52.30722,4.979378,232000,77,215,1,1980,0,appartement,25,4
1063 Amsterdam,Antony Moddermanstraat,52.38029,4.835661,38000,0,0,1,0,0,parkeergelegenheid,4,1
1053 EB Amsterdam,Kinkerstraat 88,52.36727,4.8718069999999996,210000,0,0,1,0,0,,1,1
1015 BL Amsterdam,Herengracht 34 -t/o,52.37828,4.890739,385000,50,155,1,1927,0,woonhuis,13,1
1053 SH Amsterdam,Tweede Kostverlorenkade 159 I,52.361999999999995,4.8583300000000005,265000,55,143,1,1912,0,appartement,21,2
1012 JD Amsterdam,Warmoesstraat 16 C,52.37603,4.898976,625000,150,320,2,1906,0,appartement,30,4
1106 JD Amsterdam,Rhenenhof 38,52.297579999999996,4.971623,169000,92,262,1,1976,0,appartement,20,4
1072 JT Amsterdam,Pijnackerstraat 8 -3,52.35038,4.889748,459000,77,251,2,1906,0,appartement,21,3
1093 HX Amsterdam,Wijttenbachstraat 285,52.36107,4.92894,330000,86,270,1,1983,0,appartement,18,4
1095 BJ Amsterdam,Molukkenstraat 433,52.3599,4.94059,399500,94,315,1,1983,0,appartement,41,4
1017 GP Amsterdam,Kerkstraat 118,52.364329999999995,4.886985,2160000,168,501,1,2017,1,appartement,13,3
1066 AZ Amsterdam,Ottho Heldringstraat 204 G,52.34879,4.832084,239000,57,155,1,2010,0,appartement,22,2
1087 JT Amsterdam,Zwanebloemlaan 99,52.35325,4.996805999999999,889000,180,550,3,2007,1,woonhuis,26,5
1019 HP Amsterdam,Zeeburgerkade 388,52.36922,4.943057,500000,112,390,1,1890,1,appartement,47,3
1065 EW Amsterdam,Van Mourik Broekmanstraat 10 - III,52.356609999999996,4.826761,200000,73,247,3,1960,0,appartement,21,3
1035 PM Amsterdam,Zuideinde 238,52.42422,4.88799,349000,110,310,3,2008,1,woonhuis,15,3
1078 KH Amsterdam,Krammerstraat 10 II-III,52.34602,4.887361,769500,140,481,2,1928,0,appartement,40,6
1067 VM Amsterdam,Gerda Brautigamstraat 29,52.3792,4.78939,325000,102,320,3,1991,1,woonhuis,26,4
1023 NM Amsterdam,Schellingwouderdijk 342 F,52.381609999999995,4.9657089999999995,289000,0,0,1,0,0,,1,1
1068 ZW Amsterdam,Geer Ban 5,52.36535,4.802689,485000,160,680,4,2009,1,woonhuis,35,7
1035 KG Amsterdam,Buitendijk 7,52.423840000000006,4.896191,295000,94,323,3,1993,1,woonhuis,29,4
1071 PE Amsterdam,De Lairessestraat 66 -2,52.35438,4.874141000000001,925000,129,480,2,1906,0,appartement,27,4
1071 HA Amsterdam,Willemsparkweg 187 III,52.35569,4.869987,650000,100,306,1,1906,0,appartement,18,3
1071 AK Amsterdam,Vossiusstraat 67,52.35971,4.876253,1995000,190,617,5,1906,1,appartement,43,5
1054 WE Amsterdam,Wilhelminastraat 183 III,52.36063,4.859814,425000,67,200,5,1906,0,appartement,28,3
1077 WD Amsterdam,Herman Gorterstraat 7,52.34663,4.884595,2395000,248,1035,4,1938,1,woonhuis,54,10
1067 NB Amsterdam,Berlagehof 14,52.37659,4.794989,449000,190,513,1,1954,0,woonhuis,47,4
1024 BM Amsterdam,Beemsterstraat 320,52.394,4.949380000000001,190000,75,245,1,1966,0,appartement,38,4
1082 SZ Amsterdam,Wedderborg 151,52.33337,4.872814,250000,68,211,1,1963,0,appartement,22,4
1078 MZ Amsterdam,Biesboschstraat 70 -III,52.345079999999996,4.895763,650000,125,430,2,1928,0,appartement,26,5
1075 CG Amsterdam,Koninginneweg 51 hs,52.35427,4.867522,1595000,212,808,3,1899,1,appartement,25,6
1019 AJ Amsterdam,Cruquiusweg 100 F,52.36806,4.953345,468000,257,643,1,2015,0,appartement,12,2
1015 WK Amsterdam,Marnixstraat 277 1A,52.3749,4.877032,179000,27,83,1,1906,0,appartement,16,1
1069 KD Amsterdam,Johan Hofmanstraat 151,52.35286,4.796751,262500,96,296,1,2008,0,appartement,33,4
1013 Amsterdam,Silodam,52.38232,4.894955,34000,0,0,1,0,0,parkeergelegenheid,1,1
1082 MT Amsterdam,George Gershwinlaan 107,52.33585,4.873037999999999,775000,142,590,3,2011,1,appartement,34,3
1054 MJ Amsterdam,Jan Pieter Heijestraat 144 C,52.361940000000004,4.864278,227000,35,100,1,1900,0,appartement,14,1
1016 CR Amsterdam,Leidsegracht 78 /bv,52.36605,4.881894,1250000,200,600,6,1906,0,appartement,20,6
1016 CX Amsterdam,Leidsekade 58 B,52.36596,4.879193,489000,76,270,1,1906,0,appartement,19,3
1054 DV Amsterdam,Eerste Helmersstraat 197 III hg,52.36153,4.86801,360000,71,220,5,1910,0,appartement,21,2
1025 RH Amsterdam,Urkstraat 32,52.39405,4.926413,275000,76,268,2,1931,1,woonhuis,24,5
1033 ZA Amsterdam,Kermispad 89,52.416920000000005,4.884837999999999,209011,62,191,1,1989,0,appartement,20,3
1025 BK Amsterdam,Spelderholt 51,52.39994,4.945744,179000,75,238,1,1960,0,appartement,18,4
1058 EP Amsterdam,Nachtwachtlaan 415,52.36309,4.843973,325000,98,250,1,1968,0,appartement,12,3
1021 CE Amsterdam,Eendenstraat 7,52.38793,4.91907,235000,51,150,1,1919,1,appartement,25,2
1095 CC Amsterdam,Javastraat 161 A,52.36383,4.940715,275000,64,190,1,1906,1,appartement,27,3
1093 CE Amsterdam,Wagenaarstraat 43,52.362790000000004,4.924237000000001,335000,80,216,4,1981,0,appartement,21,3
1091 NA Amsterdam,Hofmeyrstraat 38 III+IV,52.3509,4.916998,375000,77,243,2,1927,1,appartement,49,4
1056 KE Amsterdam,Geuzenstraat 38 huis,52.3721,4.865241999999999,310000,56,153,1,1931,1,appartement,15,3
1012 NK Amsterdam,Sint Nicolaasstraat 16,52.375029999999995,4.893349,1250000,195,495,5,1906,0,woonhuis,34,9
1071 RX Amsterdam,Frans van Mierisstraat 72 III/IV,52.35405,4.879664,850000,118,350,2,1906,0,appartement,32,4
1054 JZ Amsterdam,Overtoom 480 II,52.359320000000004,4.860711,519500,85,286,5,1906,0,appartement,26,4
1071 EW Amsterdam,Van Eeghenstraat 59 -I,52.35747,4.8740760000000005,585000,59,222,1,1906,0,appartement,18,2
1096 DS Amsterdam,STATE Amsterdam (Bouwnr. 1148),52.33965,4.9245220000000005,38273,0,0,1,0,0,parkeergelegenheid,1,1
1106 HA Amsterdam,Mijehof 41,52.30263,4.9703040000000005,209000,108,310,3,1983,1,woonhuis,19,5
1051 BS Amsterdam,Van Hogendorpstraat 76 II,52.38353,4.874847,200000,40,127,3,1899,0,appartement,21,2
1052 EM Amsterdam,Eerste Kostverlorenkade 13 1,52.37901,4.873448000000001,249000,54,177,1,1922,0,appartement,20,3
1077 NL Amsterdam,Minervalaan 35 II,52.348490000000005,4.872747,475000,80,282,1,1928,0,appartement,19,3
1012 XL Amsterdam,Voetboogstraat 4 II,52.36834,4.890572,325000,50,146,1,1908,0,appartement,36,2
1055 XN Amsterdam,Louise de Colignystraat 54 III,52.38046,4.85682,185000,55,165,1,1937,0,appartement,19,3
